Risk,Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 1st sem (approved),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Tuition fees up to date,Gender,Scholarship holder,Course,Risk
0,11.333333333333334,2,3,8,5,5,9,0,1,0,9,0
0,12.666666666666666,6,6,8,6,6,6,1,0,0,3,0
0,12.4,5,5,9,5,5,6,1,1,0,17,0
0,0.0,1,0,7,7,7,7,0,1,0,1,0
1,0.0,0,0,0,5,5,0,1,1,0,7,1
0,10.0,2,1,8,5,5,10,1,0,0,9,0
0,11.0,5,5,5,5,5,8,1,0,0,17,0
0,11.666666666666666,3,3,11,6,6,13,0,0,0,8,0
1,12.75,0,4,5,5,6,6,1,0,0,15,1
0,14.8,5,5,5,5,5,5,1,0,0,9,0
0,13.928,7,5,9,8,7,9,1,0,0,12,0
0,13.0,5,4,7,6,6,7,0,0,0,15,0
1,0.0,0,0,0,5,5,0,1,0,0,17,1
0,11.5,3,2,11,5,5,9,1,0,0,17,0
0,11.666666666666666,5,6,8,6,6,6,1,0,0,10,0
0,13.516666666666666,7,6,9,8,7,8,1,0,1,12,0
0,11.5,6,6,7,6,6,6,1,0,1,3,0
0,12.333333333333334,6,5,7,6,6,7,1,0,1,10,0
0,13.666666666666666,6,6,6,6,6,6,1,0,1,11,0
0,11.833333333333334,6,6,10,8,8,10,1,0,1,12,0
0,14.0,3,4,12,6,6,11,1,0,1,15,0
0,14.714285714285714,5,5,5,5,5,7,1,0,0,8,0
0,10.6,5,5,10,5,5,12,1,0,0,17,0
0,13.044444444444444,8,7,10,8,7,9,1,0,0,12,0
1,0.0,0,0,6,6,6,10,1,0,0,11,1
0,13.0,10,5,13,11,6,9,1,0,0,8,0
0,14.935,8,8,8,8,8,8,1,0,0,12,0
1,0.0,0,0,0,0,0,0,1,0,0,2,1
0,13.133333333333333,7,6,12,8,7,8,1,0,0,12,0
0,12.0,6,6,7,6,6,7,1,0,1,10,0
1,0.0,0,0,0,0,0,0,1,1,1,2,1
0,11.4,1,5,8,6,6,6,1,1,0,5,0
1,0.0,0,0,6,6,6,6,1,1,0,5,1
0,11.9,5,5,10,8,7,10,1,1,0,12,0
1,0.0,0,0,0,0,0,0,1,1,1,2,1
0,12.571428571428571,6,6,7,6,6,8,1,1,0,4,0
0,11.2,4,5,10,5,5,8,1,1,0,9,0
0,12.0,5,6,8,6,6,7,1,1,0,11,0
1,0.0,0,0,5,5,5,9,1,1,0,9,1
0,11.975,8,7,8,8,7,8,1,1,0,12,0
1,0.0,0,0,0,0,0,0,1,1,0,2,1
0,11.666666666666666,1,3,12,6,6,12,1,1,0,11,0
0,12.333333333333334,3,6,11,6,6,8,1,1,0,15,0
0,10.333333333333334,3,3,11,5,5,8,1,1,0,9,0
0,10.5,1,4,11,6,6,8,1,1,1,11,0
0,13.666666666666666,6,6,6,6,6,6,1,1,1,15,0
0,14.842857142857142,8,7,9,8,7,7,1,1,1,12,0
0,12.0,6,6,6,6,6,8,1,1,0,3,0
0,12.2,5,5,7,6,6,8,1,1,0,16,0
1,0.0,0,0,0,5,1,1,1,1,0,17,1
0,12.166666666666666,10,6,14,12,12,17,1,1,0,4,0
0,12.0,3,5,8,5,5,6,1,1,0,11,0
0,11.0,5,6,11,6,6,7,1,0,0,3,0
0,13.08,7,7,8,8,8,8,1,0,1,12,0
0,10.5,5,4,7,5,5,7,1,0,1,14,0
0,10.666666666666666,5,6,6,6,6,9,1,1,0,5,0
0,14.0,5,4,5,5,5,6,1,1,0,9,0
1,10.0,0,2,9,5,5,9,1,1,0,7,1
1,0.0,0,0,7,7,7,18,1,1,0,12,1
0,14.0,6,6,6,6,6,6,0,0,0,15,0
1,12.0,0,2,6,6,6,7,1,0,0,8,1
1,12.666666666666666,0,3,14,6,6,12,1,0,0,16,1
0,11.875,6,8,7,6,8,11,1,0,0,3,0
0,14.0,3,5,11,5,5,9,1,1,0,7,0
0,13.666666666666666,6,6,6,6,6,6,1,0,0,15,0
0,13.75,8,7,9,8,7,7,1,0,1,12,0
0,14.2,5,5,7,5,5,7,1,0,0,6,0
1,11.96,0,4,7,7,7,10,0,0,0,12,1
0,12.875,5,8,14,9,10,12,1,0,0,6,0
1,0.0,0,0,0,0,0,0,1,0,0,2,1
1,0.0,0,0,0,6,6,0,1,0,0,3,1
0,14.63157894736842,13,18,14,13,18,19,1,0,0,4,0
1,0.0,0,0,0,6,6,0,1,0,0,16,1
0,13.0,11,10,11,11,10,12,1,0,0,5,0
1,0.0,0,0,0,6,6,0,1,0,0,10,1
0,14.2,4,4,17,6,6,15,1,0,0,6,0
0,13.266666666666666,5,6,10,7,7,9,1,0,0,12,0
0,11.666666666666666,3,6,10,7,7,12,1,0,0,16,0
0,13.857142857142858,6,6,6,6,6,8,1,0,0,10,0
0,13.0,3,3,11,5,5,9,1,0,1,9,0
0,13.4,5,5,5,5,5,6,1,0,0,6,0
0,12.666666666666666,6,6,7,6,6,6,1,0,0,15,0
0,12.516666666666666,6,6,7,7,7,7,1,0,0,12,0
0,11.616666666666667,7,6,7,7,7,11,1,0,0,12,0
0,10.0,4,2,12,6,6,13,1,0,1,10,0
0,10.333333333333334,3,3,10,5,5,11,1,0,0,9,0
0,13.142857142857142,5,5,6,5,5,12,1,0,0,6,0
0,12.6,5,5,5,5,5,5,1,0,0,9,0
0,11.0,2,3,12,6,6,12,1,0,0,11,0
0,10.8,4,5,9,5,5,8,1,0,0,9,0
1,0.0,0,0,0,0,0,0,1,0,0,2,1
0,12.8,5,5,5,5,5,5,1,0,1,14,0
0,14.166666666666666,6,6,13,6,6,15,1,0,0,6,0
1,12.1,0,5,0,7,7,12,1,0,0,13,1
0,14.166666666666666,5,6,17,6,6,7,1,0,0,6,0
0,12.8,5,5,7,6,6,8,1,0,1,16,0
0,13.0,6,6,6,6,6,7,1,0,0,10,0
0,13.467142857142855,8,7,9,8,7,7,1,0,0,12,0
0,13.2375,7,7,9,8,7,9,1,0,1,12,0
0,12.333333333333334,6,6,6,6,6,6,1,0,0,5,0
0,12.4,5,5,5,5,5,7,1,0,0,9,0
1,14.0,0,5,7,7,7,8,1,0,0,12,1
0,11.666666666666666,7,9,8,7,9,15,1,0,0,10,0
0,12.0,4,5,9,6,6,7,0,0,1,14,0
0,12.2,4,4,5,5,5,7,1,0,0,14,0
0,14.833333333333334,6,6,6,6,6,6,1,0,1,15,0
0,13.188,7,5,9,8,7,9,1,0,1,12,0
0,17.125,8,7,8,8,7,8,1,0,0,12,0
0,12.666666666666666,6,6,7,7,7,7,1,0,0,12,0
0,12.666666666666666,5,6,10,6,6,8,1,0,1,15,0
1,0.0,0,0,7,5,5,8,0,0,0,9,1
0,11.333333333333334,6,6,6,6,6,7,1,0,1,10,0
0,13.605,8,7,11,8,7,10,1,0,1,12,0
0,12.0,5,5,9,6,6,10,1,0,1,16,0
1,0.0,0,0,10,5,5,10,1,0,0,11,1
0,11.2,3,5,12,6,6,8,1,0,0,11,0
0,13.375,5,5,9,5,5,10,1,0,0,9,0
0,13.863333333333337,7,6,9,8,7,8,1,0,1,12,0
1,0.0,0,0,0,0,0,0,1,0,0,2,1
0,12.4,5,5,6,5,5,6,1,0,0,6,0
0,12.333333333333334,5,3,10,6,6,11,1,0,0,16,0
0,13.333333333333334,5,6,8,6,6,7,1,0,0,16,0
0,12.666666666666666,3,3,12,6,6,10,1,0,0,16,0
0,12.0,4,6,10,6,6,8,1,0,0,16,0
0,10.6,5,5,5,5,5,5,1,0,1,9,0
0,12.25,6,6,7,6,6,8,1,0,1,10,0
0,11.0,6,4,9,6,6,10,1,0,0,10,0
0,11.0,5,5,9,6,6,11,1,0,1,3,0
0,13.166666666666666,6,6,9,6,6,6,1,0,0,14,0
0,12.855555555555554,7,7,12,8,7,9,1,0,1,12,0
0,14.91875,8,7,8,8,7,8,1,0,0,12,0
0,11.5,3,4,10,6,6,13,1,0,0,16,0
0,14.2,5,5,5,5,5,5,1,0,0,14,0
0,12.5,6,6,7,6,6,6,1,0,1,15,0
1,0.0,0,0,0,6,1,1,1,0,0,4,1
0,11.666666666666666,4,5,12,6,6,10,1,0,0,10,0
0,14.257142857142856,7,7,8,8,8,8,1,0,0,12,0
0,12.0,2,3,12,6,6,13,1,0,0,10,0
0,11.25,4,4,11,5,5,13,1,0,0,6,0
0,12.457142857142856,8,7,8,8,7,8,1,0,0,13,0
0,11.683333333333332,6,6,7,7,7,7,1,0,0,12,0
0,11.666666666666666,5,3,8,6,6,10,1,0,0,3,0
0,11.75,6,4,6,6,6,8,0,0,0,11,0
0,11.666666666666666,4,3,6,5,5,6,1,0,1,14,0
0,13.2,5,5,10,6,6,9,1,0,0,16,0
0,11.95,4,4,8,7,7,8,1,0,0,12,0
0,12.4,5,5,12,6,6,8,1,0,0,16,0
0,14.35,6,6,10,8,7,8,1,0,0,12,0
0,12.61904761904762,19,21,19,19,21,21,1,0,0,16,0
0,12.666666666666666,6,6,7,6,6,7,1,0,1,17,0
1,12.0,0,5,6,6,6,6,0,0,0,15,1
1,12.166666666666666,0,6,6,6,6,6,0,0,0,5,1
1,0.0,0,0,0,6,6,0,1,0,0,11,1
0,10.0,3,3,9,5,5,9,0,0,0,9,0
0,11.5,4,8,12,6,10,18,0,0,0,10,0
0,13.05,6,6,7,7,7,7,1,0,1,12,0
1,11.0,0,2,6,6,6,10,1,0,0,6,1
0,11.5,6,6,6,6,6,7,1,0,0,5,0
0,12.0,6,6,6,6,6,7,1,0,1,11,0
0,10.0,1,2,12,5,6,13,1,0,0,3,0
1,0.0,0,0,5,5,5,5,1,0,0,9,1
1,0.0,0,0,0,6,6,0,1,0,0,16,1
0,12.242857142857144,7,7,8,8,8,8,1,0,0,12,0
1,0.0,0,0,0,5,5,0,1,0,0,17,1
0,12.93375,8,8,8,8,8,8,1,0,0,12,0
1,0.0,0,0,0,5,5,0,1,0,0,7,1
0,12.571428571428571,7,7,8,7,7,9,1,0,0,16,0
0,11.816666666666668,3,3,3,3,3,4,1,0,0,12,0
0,13.75,4,4,13,5,5,9,1,0,0,6,0
0,11.166666666666666,6,6,6,6,6,8,1,0,0,10,0
0,12.324285714285711,7,7,8,8,8,8,1,0,0,12,0
0,12.166666666666666,6,6,7,6,6,6,1,0,0,10,0
0,11.142857142857142,4,5,11,6,6,11,1,0,1,10,0
0,11.0,4,4,9,6,6,9,1,0,0,10,0
0,12.914285714285713,7,7,8,8,8,8,1,0,0,12,0
0,13.833333333333334,6,6,6,6,6,6,1,0,1,15,0
0,13.857142857142858,5,6,9,6,6,8,1,0,0,6,0
0,13.714285714285714,5,6,6,6,6,7,1,0,1,11,0
0,12.642857142857142,7,7,8,8,8,8,1,0,1,12,0
0,12.916666666666666,6,6,7,7,7,7,1,0,1,12,0
0,15.625,6,6,8,6,6,8,1,0,1,8,0
1,0.0,0,0,8,5,5,7,1,0,1,17,1
0,11.714285714285714,6,6,7,6,6,8,1,0,0,15,0
0,12.125,8,6,9,8,7,10,1,0,0,13,0
0,11.6,5,5,5,5,5,7,1,0,1,9,0
1,10.0,0,1,6,6,6,11,1,0,0,3,1
1,10.0,0,1,13,6,6,16,1,0,1,3,1
0,0.0,2,0,9,5,5,10,1,0,0,6,0
0,13.0,3,4,8,5,5,7,1,0,1,9,0
0,13.333333333333334,6,6,6,6,6,6,1,0,1,16,0
0,11.25,2,4,13,6,6,9,1,0,0,11,0
0,13.85,7,5,9,8,7,9,1,0,1,12,0
0,13.741666666666667,7,6,9,8,7,8,1,0,1,12,0
0,15.333333333333334,5,6,5,5,6,7,1,0,0,17,0
0,11.0,5,5,5,5,5,6,1,0,0,9,0
0,12.0,6,6,7,6,6,6,1,0,1,10,0
1,0.0,0,0,5,5,5,5,1,0,0,14,1
0,11.571428571428571,7,7,15,8,8,15,1,0,1,12,0
0,12.857142857142858,3,6,6,6,6,10,1,0,0,11,0
1,0.0,0,0,0,6,6,0,1,0,0,11,1
0,13.0,5,5,5,5,5,5,1,0,0,14,0
0,11.0,5,5,8,6,6,9,1,0,1,11,0
0,12.0,1,3,12,5,5,12,1,0,0,9,0
0,12.6,6,5,6,6,6,6,1,0,1,10,0
0,13.4,6,5,7,6,6,8,1,0,1,16,0
0,11.333333333333334,6,6,9,6,6,9,1,0,1,10,0
0,13.5,4,4,10,5,5,14,0,0,0,8,0
0,11.75,3,3,14,6,6,11,0,0,0,6,0
0,12.471428571428572,7,6,8,7,7,10,1,0,0,12,0
0,12.909090909090908,9,11,15,13,17,19,1,0,0,2,0
0,11.6,5,5,5,5,5,5,1,0,1,9,0
1,0.0,0,0,9,5,5,5,0,0,0,9,1
0,12.9,10,9,12,10,10,13,1,0,1,9,0
0,13.22,8,8,8,8,8,8,1,0,0,12,0
0,13.151428571428571,7,7,8,8,8,8,1,0,1,12,0
0,12.75,3,3,8,6,6,13,0,0,0,4,0
0,11.333333333333334,4,6,8,6,6,8,1,0,0,11,0
0,13.25,5,6,13,6,6,10,1,0,1,14,0
0,12.4,5,5,6,6,6,7,1,0,0,5,0
0,15.0,6,6,6,6,6,6,1,0,1,15,0
0,14.4,5,5,6,5,5,6,1,0,0,6,0
1,11.0,0,1,12,6,6,12,1,0,0,15,1
0,12.4,5,5,6,5,5,8,1,0,0,9,0
1,16.0,0,1,12,7,7,13,0,0,1,13,1
0,13.571428571428571,5,5,14,5,5,10,1,0,0,17,0
0,11.833333333333334,6,6,6,6,6,6,1,0,0,5,0
0,11.666666666666666,5,5,9,6,6,8,1,0,1,10,0
0,11.833333333333334,2,6,8,7,10,16,0,0,0,10,0
0,11.166666666666666,5,6,10,6,6,8,1,0,1,11,0
1,0.0,0,0,0,6,6,0,1,0,0,3,1
0,11.75,6,8,19,12,12,17,0,0,0,7,0
0,14.0,6,6,7,6,6,7,1,0,0,10,0
0,12.833333333333334,6,6,6,6,6,6,1,0,0,10,0
0,12.25,3,4,10,6,6,11,1,0,0,15,0
0,14.828571428571427,7,7,8,8,8,8,1,0,0,12,0
0,11.4,5,5,8,6,6,7,1,0,1,15,0
0,13.0,6,6,8,6,6,6,1,0,1,5,0
0,13.671428571428573,7,7,8,8,8,8,1,0,1,12,0
0,12.666666666666666,5,6,8,6,6,9,1,0,1,4,0
0,10.0,1,2,12,5,5,10,0,0,0,9,0
0,13.5,5,5,8,5,5,10,1,0,0,9,0
0,12.67,8,7,8,8,7,8,1,0,0,12,0
0,14.5,6,6,7,6,6,8,1,0,0,10,0
0,13.685714285714283,8,7,8,8,7,7,1,0,0,12,0
0,11.0,3,5,10,6,6,8,1,0,0,16,0
0,11.555555555555555,5,7,12,7,9,16,0,0,0,8,0
0,13.79714285714286,8,7,8,8,7,7,1,0,1,12,0
0,14.00375,7,7,11,8,7,8,1,0,1,12,0
0,12.0,4,4,8,5,5,8,1,0,1,9,0
0,14.166666666666666,6,5,7,6,6,9,1,0,1,3,0
0,14.0,5,5,5,5,5,5,1,0,0,17,0
0,13.8,6,5,6,6,6,7,1,0,1,5,0
0,12.8,6,5,10,6,6,8,1,0,0,3,0
0,12.166666666666666,6,6,6,6,6,6,1,0,0,15,0
0,12.5,6,6,6,6,6,8,1,0,0,5,0
0,12.0,4,4,12,6,6,9,1,0,0,3,0
0,10.833333333333334,6,6,9,6,6,8,1,0,1,3,0
0,13.385,8,8,8,8,8,8,1,0,0,12,0
0,15.666666666666666,6,6,9,6,6,14,1,0,0,6,0
0,14.333333333333334,6,6,7,6,6,9,1,0,1,4,0
0,11.428571428571429,5,6,12,6,6,10,1,0,0,4,0
0,11.666666666666666,6,6,8,6,6,9,1,0,1,10,0
0,12.0,2,5,10,6,6,9,1,0,1,5,0
0,14.725714285714288,7,7,8,8,8,8,1,0,1,12,0
0,14.166666666666666,6,6,6,6,6,6,1,0,1,15,0
0,11.571428571428571,6,6,8,6,6,10,1,0,0,10,0
0,12.5,8,7,8,8,7,7,1,0,0,13,0
0,12.86,8,8,10,8,8,10,1,0,0,12,0
0,12.25,6,6,9,6,6,10,1,0,0,14,0
0,12.0,5,4,5,5,5,7,1,0,1,6,0
0,15.116666666666667,8,7,9,8,7,9,1,0,1,12,0
0,12.5,4,2,6,5,5,6,0,0,0,14,0
1,0.0,0,0,0,6,6,11,1,0,0,10,1
0,11.0,4,4,9,6,6,8,1,0,0,14,0
0,11.875,4,6,11,6,6,8,1,0,0,14,0
1,11.0,0,1,5,5,5,6,1,0,0,8,1
0,15.2,5,5,6,5,5,5,1,0,0,6,0
0,11.6,2,5,12,6,6,7,0,0,0,8,0
0,14.833333333333334,6,6,7,6,6,6,1,0,0,10,0
0,11.333333333333334,3,3,10,6,6,12,1,0,0,16,0
0,11.2,5,5,5,5,5,5,1,0,1,9,0
0,13.4,5,5,9,6,6,8,1,0,1,16,0
1,10.5,0,2,5,5,5,12,1,0,0,9,1
0,16.2,5,5,5,5,5,5,1,0,0,9,0
0,14.542857142857144,8,7,11,8,7,7,1,0,1,12,0
0,13.694285714285714,8,7,9,8,7,7,1,0,0,12,0
0,11.285714285714286,6,6,10,6,6,8,1,0,1,10,0
0,11.757142857142856,6,6,12,8,7,11,1,0,0,12,0
1,0.0,0,0,0,6,3,3,0,0,0,6,1
0,13.058571428571428,7,7,8,8,8,8,1,0,1,12,0
0,14.3,8,7,9,8,7,7,1,0,0,12,0
0,11.8,8,5,14,10,10,15,1,0,0,9,0
0,10.333333333333334,3,3,8,5,5,9,1,0,0,6,0
0,10.571428571428571,3,6,11,6,6,7,1,0,0,11,0
0,13.333333333333334,6,6,7,7,7,7,1,0,0,12,0
0,11.857142857142858,5,6,9,6,6,10,1,0,0,10,0
0,12.6,5,5,8,6,6,9,1,0,0,16,0
0,14.0,5,5,7,5,5,11,1,0,0,6,0
0,12.0,6,5,9,7,7,12,1,0,0,16,0
1,0.0,0,0,5,5,5,6,1,0,0,7,1
0,12.0,6,6,7,6,6,7,1,0,0,10,0
0,12.666666666666666,6,6,6,6,6,6,1,0,0,3,0
0,12.166666666666666,6,6,9,6,6,6,1,0,1,10,0
0,13.333333333333334,6,6,6,6,6,6,1,0,0,10,0
0,15.0,7,7,7,7,7,8,1,0,0,16,0
0,13.39125,8,8,8,8,8,8,1,0,1,12,0
0,12.166666666666666,6,5,8,6,6,9,1,0,0,10,0
0,11.25,4,4,6,5,5,9,1,0,0,8,0
0,12.0,3,4,8,5,5,13,1,0,0,6,0
1,0.0,0,0,0,0,0,0,1,0,0,2,1
0,12.833333333333334,6,6,8,6,6,7,1,0,0,3,0
0,14.0,6,6,11,6,6,10,1,0,0,4,0
0,13.0,2,4,7,5,5,5,1,0,0,9,0
0,13.5,6,6,8,6,6,7,1,0,0,15,0
0,10.692307692307692,9,13,19,13,16,24,1,0,0,10,0
0,11.0,5,5,9,5,5,6,1,0,0,17,0
0,13.0,6,6,6,6,6,8,1,0,0,10,0
0,12.0,4,5,9,6,6,10,1,0,0,3,0
0,12.6,4,4,6,6,6,9,1,0,0,11,0
0,13.666666666666666,6,6,6,6,6,6,1,0,1,15,0
1,0.0,0,0,0,0,0,0,0,0,0,2,1
0,14.2,6,6,7,7,7,7,1,0,1,12,0
1,11.0,0,5,12,6,6,10,0,0,0,11,1
0,15.0,6,6,7,6,6,7,1,0,0,6,0
0,12.585714285714284,7,6,9,8,7,9,1,0,0,12,0
1,0.0,0,0,0,5,5,0,1,0,0,17,1
1,0.0,0,0,6,6,6,6,1,0,1,4,1
1,0.0,0,0,0,6,6,0,1,0,0,6,1
0,11.666666666666666,6,6,10,6,6,7,1,0,0,16,0
0,12.666666666666666,2,3,12,6,6,13,1,0,0,15,0
0,10.333333333333334,4,3,9,5,5,10,1,0,0,9,0
0,13.5,7,8,16,9,11,18,1,0,1,6,0
0,13.98,5,5,8,7,7,8,1,0,0,12,0
0,16.153846153846153,6,6,10,6,6,13,1,0,1,6,0
0,14.033333333333331,6,6,7,7,7,7,1,0,1,12,0
0,11.0,5,1,6,5,5,8,1,0,0,6,0
0,13.857142857142858,6,7,8,7,7,8,1,0,1,16,0
0,13.414285714285716,7,7,8,8,8,8,1,0,0,12,0
0,13.545454545454543,7,11,7,7,11,11,1,0,0,3,0
0,11.25,4,4,10,5,5,11,1,0,1,17,0
0,13.833333333333334,6,6,7,6,6,6,1,0,1,15,0
0,12.0,5,5,9,5,5,8,1,0,0,17,0
1,0.0,0,0,0,6,6,0,1,0,0,6,1
0,11.9,10,10,14,11,11,14,1,0,0,3,0
1,0.0,0,0,0,5,5,5,0,0,0,9,1
0,15.135714285714286,8,7,8,8,7,7,1,0,1,12,0
0,12.285714285714286,6,7,8,7,7,7,0,0,1,16,0
0,12.666666666666666,2,5,15,6,6,16,1,0,0,6,0
0,12.74,6,5,12,8,7,13,1,0,1,12,0
0,13.25,8,6,8,8,7,8,1,0,0,12,0
0,10.333333333333334,3,3,12,6,6,13,1,0,0,10,0
0,13.428571428571429,6,6,6,6,6,7,1,0,1,16,0
0,12.555555555555555,8,9,14,9,11,19,1,0,0,9,0
0,11.5,6,6,7,6,6,8,1,0,0,10,0
0,13.666666666666666,6,6,9,6,6,6,1,0,0,16,0
0,11.272727272727272,10,11,16,11,14,16,1,0,0,17,0
0,13.166666666666666,5,5,8,6,6,10,1,0,0,16,0
0,14.666666666666666,6,6,6,6,6,6,1,0,1,3,0
0,12.75,1,4,19,6,6,11,1,0,0,6,0
0,11.2,5,5,13,8,7,11,1,0,0,12,0
0,13.0,5,5,8,6,6,8,0,0,0,15,0
0,10.5,2,2,8,5,5,8,0,0,0,6,0
0,14.857142857142858,6,6,7,6,6,7,1,0,0,6,0
0,12.86,7,7,11,8,8,11,1,0,1,12,0
0,11.727272727272728,11,11,14,11,11,12,1,0,0,10,0
0,13.142857142857142,3,6,10,6,6,11,1,0,1,6,0
0,11.8,4,5,9,6,6,6,1,0,0,14,0
1,10.666666666666666,0,3,9,5,5,10,1,0,0,9,1
0,11.6,4,5,8,6,6,9,1,0,1,5,0
0,10.333333333333334,3,3,12,6,6,13,1,0,0,11,0
0,12.25,3,4,11,6,6,11,1,0,0,15,0
0,12.0,4,6,7,6,6,6,1,0,0,11,0
0,14.731428571428571,7,7,8,8,8,8,1,0,0,12,0
1,0.0,0,0,0,0,0,0,1,0,0,2,1
0,13.615384615384617,12,13,12,12,13,14,1,0,0,5,0
0,15.8,5,5,5,5,5,5,1,0,0,17,0
0,14.666666666666666,6,6,7,6,6,6,1,0,0,10,0
1,0.0,0,0,5,5,5,5,1,0,0,6,1
0,14.654285714285717,7,7,8,8,8,8,1,0,1,12,0
0,12.401428571428571,7,7,8,8,8,8,1,0,0,12,0
0,11.5875,7,7,9,8,7,8,1,0,0,12,0
0,14.0,5,5,5,5,5,5,1,0,0,17,0
0,12.333333333333334,6,6,6,6,6,9,1,0,1,10,0
0,14.0,5,5,6,5,5,5,1,0,0,6,0
0,15.23076923076923,6,6,10,6,6,13,1,0,0,6,0
0,11.6,3,5,9,6,6,9,1,0,0,16,0
0,11.6,6,6,7,7,7,7,1,0,1,12,0
1,0.0,0,0,0,8,7,0,1,0,0,12,1
0,12.901428571428571,8,7,9,8,7,7,1,0,1,12,0
0,14.142857142857142,5,7,5,5,7,9,1,0,0,17,0
1,0.0,0,0,0,6,6,0,1,0,0,6,1
0,13.25375,8,8,8,8,8,8,1,0,0,12,0
0,13.785714285714286,8,7,8,8,7,7,1,0,0,13,0
0,13.916666666666666,6,6,7,7,7,7,1,0,0,12,0
0,13.5,6,6,9,6,6,8,1,0,0,14,0
0,11.333333333333334,2,3,12,5,5,8,1,0,0,9,0
1,0.0,0,0,12,5,5,8,1,0,0,6,1
0,11.5,4,5,9,6,6,10,1,0,0,14,0
0,12.082857142857142,7,7,8,8,8,8,1,0,1,12,0
0,11.833333333333334,5,6,10,6,6,8,1,0,1,3,0
0,13.4,5,5,5,5,5,6,1,0,1,9,0
1,0.0,0,0,7,7,7,7,1,0,1,12,1
0,14.2,6,5,7,6,6,7,1,0,0,15,0
0,13.814285714285717,7,7,8,8,8,8,1,0,1,12,0
0,11.25,6,4,6,6,6,10,1,0,1,11,0
0,14.5,6,6,8,6,6,6,1,0,1,14,0
1,0.0,0,0,0,6,6,0,1,0,0,14,1
0,11.3,6,6,7,7,7,7,1,0,0,12,0
0,0.0,1,0,4,4,2,2,1,0,0,13,0
0,12.0,3,1,9,5,5,11,1,0,0,8,0
0,12.3,7,7,9,8,8,9,1,0,0,12,0
0,12.694285714285714,7,7,8,8,8,8,1,0,1,12,0
0,11.0,4,4,5,5,5,5,1,0,0,14,0
0,13.0,6,6,6,6,6,6,1,0,1,10,0
0,14.4125,8,7,8,8,7,8,1,0,1,12,0
0,12.92875,8,7,8,8,7,8,1,0,0,12,0
0,13.333333333333334,5,6,10,6,6,6,1,0,0,15,0
0,12.8,5,5,9,6,6,8,1,0,1,11,0
0,14.402857142857142,7,7,8,8,8,8,1,0,0,12,0
0,13.381428571428572,7,7,8,8,8,8,1,0,1,12,0
0,14.13125,8,7,8,8,7,8,1,0,0,12,0
0,11.714285714285714,5,5,6,5,5,11,1,0,0,6,0
0,11.8,4,5,8,5,5,5,1,0,0,9,0
0,11.166666666666666,2,6,15,6,6,9,1,0,0,3,0
1,0.0,0,0,6,6,6,7,1,0,0,4,1
0,13.6,5,5,8,6,6,9,1,0,0,16,0
0,13.846153846153848,11,12,18,12,12,14,1,0,0,4,0
0,12.5,6,6,8,6,6,7,1,0,1,15,0
0,16.4,5,5,5,5,5,5,1,0,0,8,0
0,13.818181818181818,11,11,11,11,11,11,1,0,1,5,0
0,10.6,4,5,11,6,6,8,1,0,0,10,0
